21:48:30.479 Port                      Set to: 3
21:48:30.480 Speed                     Set to: ps9600
21:48:30.480 ReceiveTimeout            Set to: 10 seconds
21:48:30.486 Set Connected To          True
21:48:30.486 Set Connected             Using COM port: COM3 Baud rate: ps9600 Timeout: 10000 DTR: True ForcedDTR: False RTS: False ForcedRTS: False Handshake: None Encoding: 1252
21:48:30.486 Set Connected             Transmission format - Bits: 8 Parity: None Stop bits: One
21:48:30.495 AvailableCOMPorts         COM1
21:48:30.495 AvailableCOMPorts         COM3
21:48:30.495 AvailableCOMPorts         COM9
21:48:30.505 Set Connected             OK
21:48:30.508 ClearBuffers              Completed
21:48:30.510 Transmit                  > #:GR#
21:48:30.512 ReceiveTerminated #       < 21:39.3#
21:48:30.616 ClearBuffers              Completed
21:48:30.618 ClearBuffers              Completed
21:48:30.620 Transmit                  > #:GR#
21:48:30.622 ReceiveTerminated #       < 21:39.3#
21:48:32.697 ClearBuffers              Completed
21:48:32.699 Transmit                  > #:U#
21:48:32.702 ClearBuffers              Completed
21:48:32.704 Transmit                  > #:GR#
21:48:32.706 ReceiveTerminated #       < 21:39:17#
21:48:32.858 ClearBuffers              Completed
21:48:32.860 Transmit                  > #:GR#
21:48:32.862 ReceiveTerminated #       < 21:39:17#
21:48:32.954 ClearBuffers              Completed
21:48:32.956 Transmit                  > #:GD#
21:48:32.958 ReceiveTerminated #       < -01[DF]38:23#
21:48:33.033 ClearBuffers              Completed
21:48:33.035 Transmit                  > #:GS#
21:48:33.037 ReceiveTerminated #       < 20:06:39#
21:48:33.112 ClearBuffers              Completed
21:48:33.114 Transmit                  > #:GS#
21:48:33.116 ReceiveTerminated #       < 20:06:39#
21:48:33.913 ClearBuffers              Completed
21:48:33.915 Transmit                  > #:GR#
21:48:33.917 ReceiveTerminated #       < 21:39:18#
21:48:33.989 ClearBuffers              Completed
21:48:33.991 Transmit                  > #:GD#
21:48:33.993 ReceiveTerminated #       < -01[DF]38:23#
21:48:34.069 ClearBuffers              Completed
21:48:34.071 Transmit                  > #:GS#
21:48:34.073 ReceiveTerminated #       < 20:06:40#
21:48:34.149 ClearBuffers              Completed
21:48:34.151 Transmit                  > #:GS#
21:48:34.153 ReceiveTerminated #       < 20:06:40#
21:48:34.941 ClearBuffers              Completed
21:48:34.943 Transmit                  > #:GR#
21:48:34.945 ReceiveTerminated #       < 21:39:18#
21:48:35.014 ClearBuffers              Completed
21:48:35.016 Transmit                  > #:GD#
21:48:35.018 ReceiveTerminated #       < -01[DF]38:23#
21:48:35.108 ClearBuffers              Completed
21:48:35.110 Transmit                  > #:GS#
21:48:35.112 ReceiveTerminated #       < 20:06:41#
21:48:35.188 ClearBuffers              Completed
21:48:35.190 Transmit                  > #:GS#
21:48:35.192 ReceiveTerminated #       < 20:06:41#
21:48:35.981 ClearBuffers              Completed
21:48:35.983 Transmit                  > #:GR#
21:48:35.985 ReceiveTerminated #       < 21:39:17#
21:48:36.051 ClearBuffers              Completed
21:48:36.053 Transmit                  > #:GD#
21:48:36.055 ReceiveTerminated #       < -01[DF]38:23#
21:48:36.147 ClearBuffers              Completed
21:48:36.149 Transmit                  > #:GS#
21:48:36.151 ReceiveTerminated #       < 20:06:42#
21:48:36.227 ClearBuffers              Completed
21:48:36.229 Transmit                  > #:GS#
21:48:36.231 ReceiveTerminated #       < 20:06:42#
21:48:37.019 ClearBuffers              Completed
21:48:37.021 Transmit                  > #:GR#
21:48:37.023 ReceiveTerminated #       < 21:39:18#
21:48:37.089 ClearBuffers              Completed
21:48:37.091 Transmit                  > #:GD#
21:48:37.093 ReceiveTerminated #       < -01[DF]38:23#
21:48:37.185 ClearBuffers              Completed
21:48:37.187 Transmit                  > #:GS#
21:48:37.189 ReceiveTerminated #       < 20:06:43#
21:48:37.265 ClearBuffers              Completed
21:48:37.267 Transmit                  > #:GS#
21:48:37.269 ReceiveTerminated #       < 20:06:43#
21:48:38.057 ClearBuffers              Completed
21:48:38.059 Transmit                  > #:GR#
21:48:38.061 ReceiveTerminated #       < 21:39:18#
21:48:38.127 ClearBuffers              Completed
21:48:38.129 Transmit                  > #:GD#
21:48:38.131 ReceiveTerminated #       < -01[DF]38:23#
21:48:38.223 ClearBuffers              Completed
21:48:38.225 Transmit                  > #:GS#
21:48:38.227 ReceiveTerminated #       < 20:06:44#
21:48:38.303 ClearBuffers              Completed
21:48:38.305 Transmit                  > #:GS#
21:48:38.307 ReceiveTerminated #       < 20:06:44#
21:48:39.095 ClearBuffers              Completed
21:48:39.097 Transmit                  > #:GR#
21:48:39.099 ReceiveTerminated #       < 21:39:18#
21:48:39.181 ClearBuffers              Completed
21:48:39.183 Transmit                  > #:GD#
21:48:39.185 ReceiveTerminated #       < -01[DF]38:23#
21:48:39.261 ClearBuffers              Completed
21:48:39.263 Transmit                  > #:GS#
21:48:39.265 ReceiveTerminated #       < 20:06:45#
21:48:39.341 ClearBuffers              Completed
21:48:39.343 Transmit                  > #:GS#
21:48:39.345 ReceiveTerminated #       < 20:06:45#
21:48:39.815 ClearBuffers              Completed
21:48:39.817 Transmit                  > #:RG#
21:48:39.820 ClearBuffers              Completed
21:48:39.822 Transmit                  > #:Mn#
21:48:40.134 ClearBuffers              Completed
21:48:40.136 Transmit                  > #:GR#
21:48:40.138 ReceiveTerminated #       < 21:39:18#
21:48:40.221 ClearBuffers              Completed
21:48:40.223 Transmit                  > #:GD#
21:48:40.225 ReceiveTerminated #       < -01[DF]38:23#
21:48:40.301 ClearBuffers              Completed
21:48:40.303 Transmit                  > #:GS#
21:48:40.305 ReceiveTerminated #       < 20:06:46#
21:48:40.349 ClearBuffers              Completed
21:48:40.351 Transmit                  > #:GS#
21:48:40.353 ReceiveTerminated #       < 20:06:46#
21:48:41.141 ClearBuffers              Completed
21:48:41.143 Transmit                  > #:GR#
