20:45:17.293 Connected Get                0ms False
20:45:17.294 Port Set                     0ms 3
20:45:17.294 PortSpeed Set                0ms 9600
20:45:17.294 ReceiveTimeout Set           0ms 10
20:45:17.325 Connected Set               30ms True
20:45:17.326 Connected Get                0ms True
20:45:17.329 ClearBuffers                 1ms
20:45:17.331 Transmit                     1ms #:GR#
20:45:17.417 ReceiveTerminated           85ms 21:38.9#
20:45:17.419 ClearBuffers                 1ms
20:45:17.419 Connected Get                0ms True
20:45:17.421 ClearBuffers                 1ms
20:45:17.423 Transmit                     1ms #:GR#
20:45:17.497 ReceiveTerminated           73ms 21:38.9#
20:45:19.497 Connected Get                0ms True
20:45:19.499 ClearBuffers                 1ms
20:45:19.501 Transmit                     1ms #:U#
20:45:19.501 Connected Get                0ms True
20:45:19.503 ClearBuffers                 1ms
20:45:19.505 Transmit                     1ms #:GR#
20:45:19.621 ReceiveTerminated          115ms 21:38:56#
20:45:19.649 Connected Get                0ms True
20:45:19.661 Connected Get                0ms True
20:45:19.663 ClearBuffers                 1ms
20:45:19.665 Transmit                     1ms #:GR#
20:45:19.733 ReceiveTerminated           67ms 21:38:56#
20:45:19.770 Connected Get                0ms True
20:45:19.772 ClearBuffers                 1ms
20:45:19.774 Transmit                     1ms #:GD#
20:45:19.862 ReceiveTerminated           87ms -01[DF]35:20#
20:45:19.865 Connected Get                0ms True
20:45:19.867 ClearBuffers                 1ms
20:45:19.869 Transmit                     1ms #:GS#
20:45:19.941 ReceiveTerminated           71ms 19:03:16#
20:45:19.948 Connected Get                0ms True
20:45:19.950 ClearBuffers                 1ms
20:45:19.952 Transmit                     1ms #:GS#
20:45:20.022 ReceiveTerminated           69ms 19:03:16#
20:45:20.739 Connected Get                0ms True
20:45:20.741 ClearBuffers                 1ms
20:45:20.743 Transmit                     1ms #:GR#
20:45:20.805 ReceiveTerminated           61ms 21:38:56#
20:45:20.807 Connected Get                0ms True
20:45:20.809 ClearBuffers                 1ms
20:45:20.811 Transmit                     1ms #:GD#
20:45:20.883 ReceiveTerminated           71ms -01[DF]35:20#
20:45:20.885 Connected Get                0ms True
20:45:20.887 ClearBuffers                 1ms
20:45:20.889 Transmit                     1ms #:GS#
20:45:20.947 ReceiveTerminated           57ms 19:03:17#
20:45:20.949 Connected Get                0ms True
20:45:20.951 ClearBuffers                 1ms
20:45:20.953 Transmit                     1ms #:GS#
20:45:20.995 ReceiveTerminated           41ms 19:03:17#
20:45:21.809 Connected Get                0ms True
